20180630,1129,06,07,17,18,20,46,ESKİŞEHİR / TEPEBAŞI,1,133,7.556,138.242,1.714.105,15 TL,5.429,00 TL,72,40 TL,11,05 TL
20180623,1128,01,03,10,19,24,42,MERSİN / TARSUS,1,138,8.239,153.410,3.345.717,60 TL,5.817,25 TL,73,45 TL,11,10 TL
20180616,1127,10,15,22,40,41,45,,1. Devir,104,6.138,118.361,1.439.099,40 TL,5.828,80 TL,74,55 TL,10,85 TL
20180609,1126,01,03,22,25,34,43,TEKİRDAĞ / ÇORLU,1,144,7.910,143.478,1.757.283,95 TL,5.138,75 TL,70,30 TL,10,95 TL
20180602,1125,12,16,32,35,40,47,İSTANBUL / KÜÇÜKÇEKMECE - İZMİR / BUCA,2,205,9.645,165.848,1.897.051,80 TL,3.970,25 TL,63,60 TL,10,40 TL
20180526,1124,01,10,11,13,26,34,,1. Devir,139,8.289,150.917,1.862.135,13 TL,5.641,85 TL,71,65 TL,11,00 TL
20180519,1123,03,04,05,21,24,34,,Devir,157,10.034,190.923,,00 TL,55.748,45 TL,67,85 TL,10,05 TL
20180512,1122,02,03,09,21,32,42,,3. Devir,164,9.672,175.746,5.700.145,08 TL,5.220,45 TL,67,15 TL,10,30 TL
20180505,1121,03,06,18,19,26,31,,2. Devir,175,8.456,155.680,3.667.862,52 TL,4.595,70 TL,71,75 TL,10,95 TL
20180428,1120,04,05,16,36,39,42,,1. Devir,132,7.202,137.935,1.758.260,96 TL,5.610,90 TL,77,15 TL,11,40 TL
20180421,1119,05,06,18,41,43,49,İSTANBUL / BEYLİKDÜZÜ,1,123,6.567,136.327,1.825.152,70 TL,6.248,60 TL,88,35 TL,11,95 TL
20180414,1118,03,11,34,37,40,43,AYDIN / İNCİRLİOVA - İSTANBUL / BÜYÜKÇEKMECE - SAMSUN / ATAKUM,3,186,9.478,180.881,2.922.152,80 TL,5.363,20 TL,79,20 TL,11,70 TL
20180407,1117,01,19,28,29,39,43,,3. Devir,155,8.564,160.169,6.397.879,67 TL,6.103,25 TL,83,70 TL,12,50 TL
20180331,1116,08,15,20,29,39,41,,2. Devir,188,8.929,168.107,4.151.636,34 TL,4.767,90 TL,75,70 TL,11,30 TL
20180324,1115,04,06,36,37,39,43,,1. Devir,147,7.371,142.645,2.023.686,99 TL,5.798,40 TL,87,50 TL,12,65 TL
20180317,1114,02,16,17,31,44,48,,Devir,183,9.368,179.273,,00 TL,51.193,45 TL,81,70 TL,11,95 TL
20180310,1113,03,15,20,26,28,35,,3. Devir,164,9.475,170.302,5.954.602,10 TL,5.471,85 TL,71,70 TL,11,15 TL
20180303,1112,10,21,25,38,41,46,,2. Devir,148,8.323,155.617,3.824.377,41 TL,5.675,60 TL,76,00 TL,11,45 TL
20180224,1111,05,07,10,17,20,21,,1. Devir,250,11.242,170.798,1.829.774,30 TL,3.083,30 TL,51,90 TL,9,55 TL
20180217,1110,03,05,08,32,35,36,ANKARA / ÇANKAYA - İSTANBUL / AVCILAR,2,255,10.067,176.909,2.999.315,60 TL,3.494,75 TL,66,45 TL,10,70 TL
20180210,1109,02,08,17,33,37,41,,2. Devir,170,8.928,160.946,3.882.237,96 TL,4.958,05 TL,71,20 TL,11,10 TL
20180203,1108,08,14,31,34,38,41,,1. Devir,201,9.195,159.846,1.881.072,11 TL,3.940,90 TL,65,10 TL,10,50 TL
20180127,1107,04,14,16,40,44,45,İSTANBUL / KADIKÖY,1,149,8.728,164.463,4.043.548,95 TL,6.007,80 TL,77,20 TL,11,55 TL
20180120,1106,11,13,19,25,35,40,,1. Devir,191,9.125,164.136,1.917.680,20 TL,4.228,90 TL,66,40 TL,10,45 TL
20180113,1105,02,14,27,31,32,45,DENİZLİ / MERKEZEFENDİ - TEKİRDAĞ / SÜLEYMANPAŞA,2,154,8.783,162.492,1.962.121,05 TL,5.639,70 TL,74,15 TL,11,35 TL
20180106,1104,03,10,30,32,39,46,,1. Devir,139,7.297,143.860,1.862.391,00 TL,5.641,50 TL,81,25 TL,11,55 TL
20171230,1103,03,06,19,35,38,41,MUĞLA / BODRUM,1,104,7.492,138.991,1.759.551,20 TL,7.124,70 TL,74,65 TL,11,30 TL
20171223,1102,04,07,10,17,20,45,KIRKLARELİ / MERKEZ,1,147,7.601,133.676,1.627.438,70 TL,4.662,35 TL,68,35 TL,10,85 TL
20171216,1101,02,21,38,40,41,44,İZMİR / KONAK - KOCAELİ / İZMİT,2,112,7.408,144.578,1.801.738,20 TL,7.014,30 TL,80,40 TL,11,50 TL
20171209,1100,02,07,11,28,32,46,,1. Devir,151,7.120,133.947,1.737.881,12 TL,4.847,95 TL,77,20 TL,11,60 TL
20171202,1099,01,05,08,17,20,46,MERSİN / AKDENİZ,1,165,8.721,162.092,5.882.717,65 TL,5.311,40 TL,76,00 TL,11,45 TL
20171125,1098,03,11,20,32,40,45,,2. Devir,225,9.089,162.870,3.801.830,42 TL,3.678,70 TL,69,15 TL,10,75 TL
20171118,1097,01,11,13,18,26,49,,1. Devir,131,7.763,147.436,1.836.199,47 TL,5.902,65 TL,75,50 TL,11,10 TL
20171111,1096,12,14,20,26,40,48,ISPARTA / MERKEZ,1,178,9.684,179.322,5.882.341,35 TL,5.202,15 TL,72,10 TL,10,95 TL
20171104,1095,14,21,32,37,47,49,,2. Devir,234,9.861,165.449,3.683.377,74 TL,3.502,45 TL,62,60 TL,10,50 TL
20171028,1094,04,05,09,22,34,41,,1. Devir,216,8.996,155.230,1.737.969,01 TL,3.388,30 TL,61,30 TL,10,00 TL
20171021,1093,07,12,26,29,31,36,ANTALYA / MANAVGAT,1,139,7.718,140.432,1.747.939,05 TL,5.296,65 TL,72,15 TL,11,10 TL
20171014,1092,04,06,12,33,34,45,ŞANLIURFA / HALİLİYE,1,121,7.423,142.500,1.726.350,55 TL,6.007,30 TL,74,20 TL,10,80 TL
20171007,1091,11,17,19,27,35,38,İSTANBUL / KÜÇÜKÇEKMECE - KOCAELİ / İZMİT,2,187,9.460,161.972,1.815.279,95 TL,4.294,45 TL,64,25 TL,10,50 TL
20170930,1090,06,09,12,24,27,39,,1. Devir,272,10.332,159.013,1.723.461,11 TL,2.668,15 TL,53,40 TL,9,65 TL
20170923,1089,02,19,31,36,42,48,İSTANBUL / ŞİŞLİ,1,142,8.316,154.294,5.699.826,85 TL,6.268,00 TL,80,40 TL,12,25 TL
20170916,1088,05,20,36,41,45,46,,2. Devir,144,7.440,141.910,3.586.064,40 TL,5.498,15 TL,79,75 TL,11,85 TL
20170909,1087,03,08,17,18,32,38,,1. Devir,143,8.792,151.513,1.706.461,01 TL,5.025,25 TL,61,75 TL,10,05 TL
